id,name,cuisine,rating,delivery_time,city,address,thumbnail
1,Pizza Palace,Italian,4.6,25-35,New York,"456 Broadway, Manhattan, NY 10013",https://images.unsplash.com/photo-1513104890138-7c749659a591?w=400&h=300&fit=crop
2,Burger Haven,American,4.5,20-30,New York,"789 Atlantic Ave, Brooklyn, NY 11217",https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=400&h=300&fit=crop
3,Sushi Express,Japanese,4.7,30-40,New York,"321 Queens Blvd, Queens, NY 11101",https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=400&h=300&fit=crop
4,Taco Fiesta,Mexican,4.4,15-25,New York,"555 Grand Concourse, Bronx, NY 10451",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400&h=300&fit=crop
5,Dragon Wok,Chinese,4.5,25-35,Los Angeles,"234 Canal St, Los Angeles, CA 90012",https://images.unsplash.com/photo-1526318896980-cf78c088247c?w=400&h=300&fit=crop
6,Pasta Paradise,Italian,4.6,30-40,Chicago,"987 Court St, Chicago, IL 60601",https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=400&h=300&fit=crop
7,BBQ Nation,BBQ,4.7,35-45,San Francisco,"654 Astoria Blvd, San Francisco, CA 94102",https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?w=400&h=300&fit=crop
8,Thai Delight,Thai,4.5,25-35,Chicago,"432 8th Ave, Chicago, IL 60605",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=400&h=300&fit=crop
9,Curry House,Indian,4.6,30-40,Los Angeles,"876 Coney Island Ave, Los Angeles, CA 90005",https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400&h=300&fit=crop
10,Mediterranean Grill,Mediterranean,4.8,25-35,Manhattan,"123 5th Ave, Manhattan, NY 10003",https://images.unsplash.com/photo-1529042410759-befb1204b468?w=400&h=300&fit=crop
