id,name,description,price,category,image,is_veg,restaurant_id,is_available
1,Margherita Pizza,Classic pizza with tomato sauce and mozzarella,289,Pizza,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=400&h=300&fit=crop,true,1,true
2,Pepperoni Pizza,Traditional pepperoni with extra cheese,329,Pizza,https://images.unsplash.com/photo-1628840042765-356cda07504e?w=400&h=300&fit=crop,false,1,true
3,Veggie Supreme,Loaded with fresh vegetables and cheese,299,Pizza,https://images.unsplash.com/photo-1511689660979-10d2b1aada49?w=400&h=300&fit=crop,true,1,true
4,BBQ Chicken Pizza,Chicken with BBQ sauce and red onions,349,Pizza,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,false,1,true
5,Classic Burger,Beef patty with lettuce and tomato,189,Burger,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=400&h=300&fit=crop,false,2,true
6,Cheese Burger,Double cheese with bacon,229,Burger,https://images.unsplash.com/photo-1572802419224-296b0aeee0d9?w=400&h=300&fit=crop,false,2,true
7,Bacon Burger,Crispy bacon with special sauce,249,Burger,https://images.unsplash.com/photo-1553979459-d2229ba7433b?w=400&h=300&fit=crop,false,2,true
8,Veggie Burger,Plant-based patty with avocado,199,Burger,https://images.unsplash.com/photo-1520072959219-c595dc870360?w=400&h=300&fit=crop,true,2,true
9,California Roll,Crab and avocado wrapped in seaweed,199,Sushi,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=400&h=300&fit=crop,false,3,true
10,Spicy Tuna Roll,Fresh tuna with spicy mayo,229,Sushi,https://images.unsplash.com/photo-1617196034796-73dfa7b1fd56?w=400&h=300&fit=crop,false,3,true
11,Salmon Nigiri,Fresh salmon over seasoned rice,269,Sushi,https://images.unsplash.com/photo-1563612116625-3012372fccce?w=400&h=300&fit=crop,false,3,true
12,Vegetable Tempura Roll,Crispy vegetables in sushi roll,179,Sushi,https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=400&h=300&fit=crop,true,3,true
13,Chicken Tacos,Three soft tacos with grilled chicken,159,Tacos,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400&h=300&fit=crop,false,4,true
14,Beef Tacos,Seasoned ground beef tacos,179,Tacos,https://images.unsplash.com/photo-1551504734-5ee1c4a1479b?w=400&h=300&fit=crop,false,4,true
15,Fish Tacos,Grilled fish with cabbage slaw,199,Tacos,https://images.unsplash.com/photo-1512062768107-0dad8efe6ad9?w=400&h=300&fit=crop,false,4,true
16,Veggie Tacos,Black beans and grilled vegetables,139,Tacos,https://images.unsplash.com/photo-1599974579688-8dbdd335c77f?w=400&h=300&fit=crop,true,4,true
